GENDER,HOME_VALUE,HH_INCOME,NET_WORTH,PRES_KIDS,AGE,HOMEOWNER,CREDIT_RATING,PART_AFFILIATION,CONFIDENCE_LEVEL,BUBBLES,Childrens_Recency_of_Purchase,Fashion_Accessories_and_Beauty_Recency_of_Purchase,Female_and_Male_Apparel_Recency_of_Purchase,High_Ticket_Female_Apparel_Acc_Recency_of_Purchase,High_Ticket_Home_Decor_Recency_of_Purchase,Home_Decor_Recency_of_Purchase,Intimate_Apparel_and_Undergarments_Recency_of_Purchase,Kitchen_and_Bath_Recency_of_Purchase,Male_Apparel_Recency_of_Purchase,Modern_Contemporary_Decor_and_Gifts_Recency_of_Purchase,Other_Recency_of_Purchase,Purchase_Date_Range,TARGET
F,U,O,G,TRUE,45-54,R,A,D,0,Lowkey Luxe,5,,,,1,5,,4,,1,,1,1
F,R,L,A,,45-54,H,,,0,Working for the Weekend,,,4,,3,,3,,,3,,3,1
M,Q,B,I,,75+,H,G,D,0,Blue Collar Boomers,,5,2,5,1,1,,,,1,5,1,1
M,S,S,I,FALSE,55-64,H,C,D,0,Jet Setters,,,5,,2,2,,,,5,,2,1
F,,H,I,FALSE,45-54,,,,0,Single and Surviving,,,1,,5,,,,,5,,1,1
F,U,S,I,TRUE,65-74,H,A,,0,Old Money,4,5,,2,5,,5,5,5,,,2,1
M,N,N,I,FALSE,55-64,H,,R,0,Single Sophisticates,1,3,2,1,1,,,1,5,2,5,1,1
M,,,,,65-74,,,,0,Single and Thriving,,,,,,,5,,,,,5,1
F,S,,I,TRUE,65-74,H,,,0,Wealth Whispers,,,,1,1,5,,,,1,,1,1
M,P,O,I,,65-74,H,B,R,0,Urban Elites,5,,,,1,3,,,,1,5,1,1
F,S,O,I,TRUE,55-64,H,B,R,0,Single and Thriving,,3,2,3,1,,5,2,,1,5,1,1
F,S,S,I,TRUE,55-64,H,C,,0,Wealth Whispers,3,2,,1,1,2,,2,5,1,,1,1
M,,F,,FALSE,,,,,2,Subway Surfers,,,4,4,2,,,5,5,2,,2,1
M,,D,I,TRUE,35-44,H,,,0,Penny Pinching Couples,1,5,,,2,3,,4,,,5,1,1
F,U,A,A,FALSE,45-54,R,,D,0,Single and Surviving,5,,4,1,,,4,,,,,1,1
M,,N,,FALSE,,,,,2,Golden Era,,5,1,,1,,,3,3,1,,1,1
F,U,A,A,FALSE,25-34,R,E,,0,Subway Surfers,,5,,,5,5,,,,,,5,1
F,S,N,G,FALSE,45-54,H,,,0,Working for the Weekend,,,,5,1,,,5,,1,,1,1
M,S,S,I,TRUE,25-34,H,B,,0,Social Climbers,,4,1,,3,3,5,5,1,3,5,1,1
M,S,S,I,TRUE,25-34,H,B,,0,Social Climbers,,4,1,,3,3,5,5,1,3,5,1,1
F,Q,N,I,TRUE,65-74,H,A,,0,Dynamic Duos,,5,2,2,1,1,,,,,,1,1
F,Q,N,I,TRUE,65-74,H,A,,0,Dynamic Duos,,5,2,2,1,1,,,,,,1,1
F,Q,N,I,TRUE,65-74,H,A,,0,Dynamic Duos,,5,2,2,1,1,,,,,,1,1
M,S,O,G,,65-74,H,C,R,0,Wealth Whispers,,,,,,,,,,,,5,1
M,S,O,G,,65-74,H,C,R,0,Wealth Whispers,,,,,,,,,,,,5,1
F,U,N,G,TRUE,35-44,8,C,,0,Date Nights City Lights,1,2,2,2,1,1,2,2,,1,1,1,1
F,U,J,H,TRUE,35-44,R,,I,0,Date Nights City Lights,5,,,,1,,,5,,,,1,1
M,S,R,G,,45-54,H,B,,0,Jet Setters,,3,2,,1,2,5,3,,1,,1,1
F,Q,L,G,TRUE,45-54,H,B,D,0,Working for the Weekend,4,2,1,1,1,5,1,1,3,1,4,1,1
,,,,,45-54,,,,2,Jet Setters,1,5,2,2,4,5,4,4,4,5,5,1,1
,,,,,45-54,,,,2,Jet Setters,1,5,2,2,4,5,4,4,4,5,5,1,1
F,S,S,H,TRUE,35-44,H,,,0,Lowkey Luxe,5,1,1,1,2,5,3,5,,2,,1,1
M,K,L,A,TRUE,25-34,H,B,,0,Date Nights City Lights,,4,4,,1,,,,2,1,,1,1
M,,S,I,FALSE,35-44,R,,,0,Glitterati,,,,,1,3,,5,,1,,1,1
F,R,F,I,,35-44,H,B,,0,Subway Surfers,,,,1,2,2,5,5,,2,,1,1
F,,R,I,FALSE,35-44,H,,,0,Glitterati,,4,,,3,3,,5,,4,,3,1
F,S,S,I,,18-24,H,C,,1,Single and Strategic,,,,,,,,,,,,,1
F,U,D,A,TRUE,45-54,H,,D,0,Average Joes,,,,,1,1,5,,,3,,1,1
M,U,Q,I,TRUE,55-64,H,B,R,0,Single and Thriving,,,,,3,3,4,5,,5,,1,1
M,S,Q,I,,75+,H,,,0,Senior Elite,,1,1,,1,,,,1,1,,1,1
F,Q,I,G,TRUE,35-44,H,D,,0,Penny Pinching Couples,,3,3,1,1,1,5,5,3,,3,1,1
F,S,R,I,TRUE,25-34,H,,,0,High Tech Rednecks,,4,3,3,2,,3,5,,2,,1,1
M,,H,F,FALSE,,8,,,2,Single and Surviving,,5,1,,1,1,,2,1,1,,1,1
M,,,I,TRUE,18-24,,,,2,Single and Strategic,,5,,,2,4,,3,3,2,4,2,1
M,,,,,35-44,,,,2,Jet Setters,,5,5,1,,,,,,,,1,1
M,,,,,35-44,,,,2,Jet Setters,,5,5,1,,,,,,,,1,1
M,,,,,35-44,,,,2,Jet Setters,,5,5,1,,,,,,,,1,1
F,,O,H,FALSE,,8,,,2,Single and Thriving,,,,,,,,,,,,,1
F,,O,H,FALSE,,8,,,2,Single and Thriving,,,,,,,,,,,,,1
M,S,O,I,FALSE,,H,C,,0,Life in the Fast Lane,,2,2,1,2,,,2,1,2,,1,1
F,U,L,E,FALSE,35-44,8,,,0,Date Nights City Lights,2,2,,,5,,5,5,5,,,2,1
F,U,L,E,FALSE,35-44,8,,,0,Date Nights City Lights,2,2,,,5,,5,5,5,,,2,1
F,,,,,35-44,,,,2,Life in the Fast Lane,,,,,,,,,,,,,1
F,S,H,I,,35-44,H,E,I,0,Subway Surfers,5,4,,1,2,3,2,3,4,5,,1,1
M,Q,N,I,FALSE,35-44,H,B,,0,Date Nights City Lights,,,,,,,,,,,,5,1
M,N,D,G,FALSE,,H,G,,0,Single and Surviving,,5,1,,4,,1,,,4,,1,1
M,N,D,G,FALSE,,H,G,,0,Single and Surviving,,5,1,,4,,1,,,4,,1,1
F,U,P,H,FALSE,45-54,H,B,D,0,Jet Setters,,5,,5,1,4,5,2,,1,,1,1
F,U,P,H,FALSE,45-54,H,B,D,0,Jet Setters,,5,,5,1,4,5,2,,1,,1,1
F,,,,,55-64,,,,2,Single and Thriving,,,,,,,,,,,,,1
F,,,,,55-64,,,,2,Single and Thriving,,,,,,,,,,,,,1
M,,,,FALSE,,,,,2,Life in the Fast Lane,,,,,1,1,,,,,,1,1
M,,,,FALSE,,,,,2,Life in the Fast Lane,,,,,1,1,,,,,,1,1
M,U,O,I,TRUE,25-34,R,B,D,0,Life in the Fast Lane,,,,,5,,,5,5,5,,2,1
M,U,L,I,TRUE,35-44,H,D,D,0,Comfortable Couples,,2,3,5,2,2,3,,2,,,1,1
F,S,O,I,,75+,H,,D,0,Urban Elites,,5,,5,3,,,,4,3,,3,1
M,S,O,I,TRUE,55-64,H,B,R,0,Wealth Whispers,5,2,1,,2,2,,3,,2,,1,1
M,S,Q,H,TRUE,35-44,H,C,D,0,Life in the Fast Lane,,,5,,,,,,3,,,3,1
M,S,S,I,,55-64,H,B,,0,Single and Thriving,,,,,,,,,,,,3,1
M,S,S,I,,55-64,H,B,,0,Single and Thriving,,,,,,,,,,,,3,1
M,S,S,I,,55-64,H,B,,0,Single and Thriving,,,,,,,,,,,,3,1
M,M,Q,I,,55-64,H,B,D,0,Single and Thriving,,,,,4,5,,5,2,4,,2,1
M,S,L,I,TRUE,35-44,H,B,,0,Downtown Dreamers,2,4,,,2,2,5,,5,5,,2,1
F,O,O,G,TRUE,25-34,H,B,D,0,Life in the Fast Lane,,2,1,2,1,,5,3,,1,,1,1
F,,I,F,TRUE,45-54,R,,,0,Single and Surviving,,,,,1,2,,5,5,1,,1,1
F,U,N,I,TRUE,55-64,R,,,0,Single Sophisticates,,,,5,5,5,,,,5,,5,1
M,,,,TRUE,,,,,2,Single and Thriving,,,,,,,,,,,,,1
M,O,S,I,TRUE,75+,H,C,D,0,Old Money,,,,,5,5,,,,,,5,1
M,U,I,I,,65-74,,C,D,0,Back at the Ranch,,,,,,,,,,,,,1
M,,O,I,TRUE,45-54,H,,,0,Lowkey Luxe,,,,,4,,,4,,,,4,1
F,Q,S,I,,65-74,H,C,D,0,Old Money,,,,,,,,,,,,4,1
F,Q,S,I,,65-74,H,C,D,0,Old Money,,,,,,,,,,,,4,1
M,L,F,H,TRUE,35-44,H,,D,0,Penny Pinching Couples,,,1,,4,4,,,,,,1,1
F,Q,R,I,TRUE,55-64,H,C,D,0,Suburban Socialites,5,2,1,,1,1,5,4,3,5,5,1,1
F,,E,G,FALSE,35-44,8,,,0,Subway Surfers,5,3,2,1,1,5,,5,,1,,1,1
F,F,R,F,FALSE,45-54,H,C,D,0,Jet Setters,,,3,,,,,,,,,1,1
F,,S,I,TRUE,65-74,H,,,2,Urban Elites,,,,,,,,,,,,,1
F,,D,,,65-74,,,,2,Mid Century Moderns,,2,,,,,,,,,,2,1
F,,Q,I,FALSE,45-54,H,,,2,Jet Setters,,,,3,1,,3,3,,1,,1,1
M,I,H,B,TRUE,45-54,H,C,,0,American Dreamers,,2,1,,,,,,2,,,1,1
M,I,H,B,TRUE,45-54,H,C,,0,American Dreamers,,2,1,,,,,,2,,,1,1
F,S,N,A,TRUE,65-74,H,C,R,0,Dynamic Duos,,,,,3,,,,,3,,3,1
M,S,S,I,FALSE,55-64,H,C,D,0,Wealth Whispers,,,5,3,,,,,,,,3,1
M,S,S,I,FALSE,55-64,H,C,D,0,Wealth Whispers,,,5,3,,,,,,,,3,1
F,S,Q,I,TRUE,65-74,H,B,D,0,Old Money,3,2,1,,1,,,,,1,,1,1
F,,H,H,TRUE,35-44,H,,,2,Penny Pinching Couples,,2,1,4,2,5,,5,1,5,,1,1
F,U,Q,H,TRUE,35-44,R,B,R,0,Life in the Fast Lane,,5,3,3,1,5,5,,5,1,2,1,1
F,U,N,H,TRUE,35-44,,C,,0,Working for the Weekend,,,,,,,,,,,,,1
F,U,L,I,,75+,R,,,0,Smart Singles,,,,,,,,,,,,,1
F,U,L,I,,75+,R,,,0,Smart Singles,,,,,,,,,,,,,1
F,U,L,I,,75+,R,,,0,Smart Singles,,,,,,,,,,,,,1
M,,N,H,TRUE,35-44,H,,,0,Comfortable Couples,,3,2,,4,,,4,4,,5,2,1
F,,O,I,TRUE,65-74,H,,,0,Old Money,,5,5,5,5,,5,5,,5,2,1,1
M,,,,,,,,,2,Golden Era,,,,,,,,,5,,5,2,1
F,U,N,H,TRUE,35-44,H,B,R,0,Movin On Up,,3,,,3,,5,,,3,5,1,1
F,U,N,H,TRUE,35-44,H,B,R,0,Movin On Up,,3,,,3,,5,,,3,5,1,1
F,S,S,I,TRUE,55-64,H,C,D,0,Lowkey Luxe,,4,2,1,2,,2,,1,2,,1,1
F,Q,O,G,TRUE,35-44,H,E,,0,Life in the Fast Lane,,,,,5,,,5,,,5,1,1
F,S,K,G,FALSE,25-34,H,B,,0,Date Nights City Lights,,,,,,,,,,,,1,1
M,U,O,H,TRUE,45-54,H,B,D,0,Lowkey Luxe,5,1,3,,1,,,5,,1,4,1,1
F,S,C,I,TRUE,45-54,H,B,D,0,Single and Surviving,5,4,,2,2,5,2,3,,2,,2,1
F,Q,O,H,FALSE,55-64,H,B,,0,Single and Thriving,,,,,,,,,,,,,1
M,U,O,G,FALSE,45-54,H,C,D,0,Jet Setters,5,,,,3,,,,,2,5,2,1
M,U,O,G,FALSE,45-54,H,C,D,0,Jet Setters,5,,,,3,,,,,2,5,2,1
M,U,O,G,FALSE,45-54,H,C,D,0,Jet Setters,5,,,,3,,,,,2,5,2,1
F,Q,Q,H,TRUE,35-44,H,B,D,0,Life in the Fast Lane,3,4,1,3,3,5,5,5,,3,5,1,1
F,Q,J,G,,65-74,H,,R,0,Smart Singles,,,,,4,5,,,,4,,4,1
F,U,J,I,TRUE,55-64,H,,D,0,Dynamic Duos,,4,2,2,1,1,4,1,5,1,3,1,1
F,,N,,FALSE,45-54,H,,,2,Working for the Weekend,,,,2,2,,,,5,2,,2,1
F,S,O,I,FALSE,,H,C,,0,Jet Setters,,,,,,,,,,,,,1
F,U,L,A,,35-44,8,,,0,Date Nights City Lights,,4,4,2,1,1,2,4,,5,5,1,1
M,Q,O,I,FALSE,45-54,H,C,,0,Jet Setters,,,5,,,,,,,,,5,1
M,R,S,I,TRUE,55-64,H,B,D,0,Lowkey Luxe,,,,,,,,,,,,,1
F,S,O,I,FALSE,45-54,H,C,,0,Jet Setters,,,,,2,3,,3,,2,,2,1
F,S,Q,I,FALSE,25-34,H,B,,0,Life in the Fast Lane,4,,1,5,2,,,2,,2,,1,1
M,Q,N,H,TRUE,35-44,H,B,U,0,Date Nights City Lights,,,,5,5,,5,5,4,5,,3,1
M,S,O,,TRUE,65-74,H,B,,0,Old Money,3,5,4,1,3,3,,,1,,,1,1
F,,I,G,FALSE,25-34,8,,,2,Subway Surfers,,3,,2,1,2,,,,1,,1,1
F,U,F,A,TRUE,55-64,8,B,R,0,Single and Surviving,,,,,5,5,,,,,1,1,1
F,S,O,F,FALSE,35-44,H,C,D,0,Jet Setters,1,2,2,2,1,1,5,2,2,2,,1,1
M,R,S,I,,65-74,H,,D,0,Old Money,5,3,,,1,5,,,,2,,1,1
F,,H,,FALSE,,,,,2,Young Middle Managers,,,,,,,,,,,,,1
F,,H,,FALSE,,,,,2,Young Middle Managers,,,,,,,,,,,,,1
F,,A,A,FALSE,35-44,8,,,0,Single and Surviving,4,,,5,1,,,2,,1,,1,1
F,U,O,I,,75+,9,,,0,Old Money,,,,,4,5,,,,3,,3,1
M,S,N,I,TRUE,35-44,H,D,,0,Downtown Dreamers,,,,,1,2,,4,1,1,,1,1
M,,F,H,TRUE,35-44,H,,,0,Penny Pinching Couples,,,,,,,,,,,,5,1
M,,F,H,TRUE,35-44,H,,,0,Penny Pinching Couples,,,,,,,,,,,,5,1
F,,L,H,TRUE,55-64,,,,0,Working for the Weekend,,5,5,,5,,,,,5,,5,1
F,S,P,G,FALSE,25-34,H,C,D,0,Life in the Fast Lane,2,5,,,4,5,,5,,4,,2,1
F,,N,I,TRUE,45-54,R,,R,0,Working for the Weekend,5,5,,,5,5,,5,,5,,5,1
M,,,,FALSE,,,,,2,Life in the Fast Lane,3,,,4,2,,,5,,2,,2,1
M,U,O,I,,65-74,H,B,D,0,Senior Society,,,5,,5,,,,,5,,2,1
F,U,S,I,TRUE,65-74,H,A,D,0,Wealth Whispers,,5,2,,1,5,,,5,1,,1,1
M,S,O,I,FALSE,,H,B,,0,Lowkey Luxe,,,,,1,1,,,,1,,1,1
M,S,O,I,FALSE,,H,B,,0,Lowkey Luxe,,,,,1,1,,,,1,,1,1
F,U,N,G,FALSE,45-54,,C,,0,Movin On Up,3,,3,3,1,5,,5,4,1,,1,1
F,S,S,I,TRUE,35-44,H,B,,0,Life in the Fast Lane,1,2,5,3,2,5,,3,,2,,1,1
,,,,FALSE,,,,,2,Smart Singles,,,,,1,,,3,,,,1,1
F,U,O,I,,65-74,9,,D,0,Single and Thriving,,,1,,1,4,,,5,1,,1,1
M,,N,I,,65-74,H,,,0,Retired and Relaxed,,,,,,,,,,,,,1
M,,N,I,,65-74,H,,,0,Retired and Relaxed,,,,,,,,,,,,,1
M,,N,I,,65-74,H,,,0,Retired and Relaxed,,,,,,,,,,,,,1
M,,N,I,,65-74,H,,,0,Retired and Relaxed,,,,,,,,,,,,,1
M,S,S,I,TRUE,65-74,H,B,D,0,Old Money,,2,,2,4,,2,4,,5,,2,1
M,,S,I,TRUE,45-54,H,,,2,Jet Setters,,,,4,4,,,,,4,,4,1
M,N,J,I,FALSE,35-44,H,D,,0,Date Nights City Lights,,4,4,,1,5,,,,1,,1,1
F,,I,G,FALSE,,H,,,2,American Dreamers,,,,,1,2,,3,,1,,1,1
F,,,I,FALSE,35-44,H,,,0,Glitterati,2,5,1,,1,2,5,4,5,1,,1,1
M,U,R,I,,35-44,R,B,D,0,Glitterati,5,3,2,4,4,4,,,,4,,2,1
F,,M,I,TRUE,55-64,H,,,0,Working for the Weekend,,5,1,5,1,4,,4,,1,2,1,1
F,S,R,I,FALSE,35-44,H,A,R,0,Life in the Fast Lane,,,,,1,,,,,,,1,1
M,,,,FALSE,35-44,,,,2,Life in the Fast Lane,,3,,,3,,5,3,5,3,,3,1
M,O,N,H,TRUE,35-44,H,A,D,0,Working for the Weekend,5,,,,2,5,,,,5,5,1,1
M,,F,,FALSE,35-44,,,,0,Penny Pinching Couples,,2,4,1,1,4,4,5,3,2,2,1,1
M,S,R,A,TRUE,45-54,H,,,0,Jet Setters,,,3,5,3,,5,5,2,3,4,2,1
M,U,D,A,TRUE,45-54,,,,0,Single and Surviving,,5,,,4,,,4,,4,2,2,1
F,,,I,TRUE,65-74,,,,0,Senior Society,,,1,5,2,2,3,3,5,3,,1,1
M,S,O,I,FALSE,25-34,H,,,0,Glitterati,,,,2,,,,,,,,2,1
M,,N,E,FALSE,,,,,1,Date Nights City Lights,,5,,,3,3,,5,5,5,5,3,1
M,,,,FALSE,,,,,2,Life in the Fast Lane,,,,,2,,,,,2,,2,1
F,S,,,FALSE,,H,,,0,Life in the Fast Lane,2,,2,1,1,5,2,2,,1,,1,1
M,Q,N,I,,55-64,H,,,0,Single Sophisticates,,5,5,,3,5,,4,2,3,,2,1
F,U,,,FALSE,25-34,,C,,0,Single and Strategic,,,,,,,,,,,,,1
M,U,R,I,,75+,,,,0,Old Money,,5,,,1,,,3,1,1,,1,1
F,U,N,H,TRUE,65-74,,B,,0,Silver Sneakers,,4,1,5,5,,1,5,,5,,1,1
F,,,,TRUE,25-34,H,,,2,Life in the Fast Lane,,,4,,1,,,,,1,,1,1
M,,H,G,,65-74,H,,,0,American Classics,,,,,,,,,,,,1,1
F,O,P,G,TRUE,55-64,H,B,D,0,Wealth Whispers,5,5,5,,,,,,,,,2,0
F,N,Q,G,TRUE,55-64,H,B,D,0,Lowkey Luxe,,4,3,,,,5,,,,,1,0
M,U,B,G,,65-74,R,,R,0,Mid Century Moderns,,,,,,,,,,,,1,0
M,Q,Q,I,TRUE,65-74,H,A,I,0,Wealth Whispers,,,5,,,,5,,,,,2,0
F,N,O,H,TRUE,65-74,H,C,I,0,Country Club Set,,,,,5,,,5,,,,5,0
F,R,O,G,TRUE,45-54,H,B,D,0,Lowkey Luxe,,,,,5,5,5,,,,,2,0
M,O,O,H,TRUE,65-74,H,F,D,0,Country Club Set,,,,,,,,,,,,,0
F,M,O,H,TRUE,45-54,H,E,D,0,Lowkey Luxe,,5,,,,,,,,,,1,0
M,R,O,I,TRUE,75+,H,C,D,0,Country Club Set,,2,2,,,,,,,,5,2,0
M,R,O,I,TRUE,75+,H,C,D,0,Country Club Set,,2,2,,,,,,,,5,2,0
F,O,O,G,TRUE,45-54,H,D,L,0,Minivans and Malls,5,5,,,,,5,,,,,2,0
F,O,Q,I,TRUE,55-64,H,B,L,0,Single and Thriving,,5,,,2,,5,5,4,2,,2,0
F,L,O,H,,65-74,H,B,R,0,Old Money,3,,,,,,,,,,,2,0
F,K,N,G,TRUE,75+,H,C,D,0,Golden Era,,,,,,,,,,,5,1,0
F,Q,L,I,,65-74,H,B,I,0,Silver Sneakers,,,,,,,,,5,,,1,0
F,,,I,,75+,H,,R,0,Greatest Generation,,5,,,,,,,,,,4,0
F,,,I,,75+,H,,R,0,Greatest Generation,,5,,,,,,,,,,4,0
F,,,I,,75+,H,,R,0,Greatest Generation,,5,,,,,,,,,,4,0
F,O,J,G,TRUE,55-64,H,A,I,0,Country Clout,,,,,,,,,,,,1,0
F,J,N,G,TRUE,45-54,H,F,,0,Movin On Up,,5,,,,,,,,,,5,0
M,N,N,G,TRUE,55-64,H,B,R,0,Dynamic Duos,,5,,,,,,,,,,1,0
M,Q,R,I,TRUE,55-64,H,B,R,0,Single and Thriving,,5,2,,1,1,,3,2,5,3,1,0
F,Q,N,I,TRUE,65-74,H,B,D,0,Silver Sneakers,,5,,,3,5,,3,,4,,2,0
F,M,L,G,TRUE,55-64,H,E,L,0,Single Sophisticates,,3,2,,,,,,,,,2,0
M,N,P,H,,65-74,H,B,D,0,Old Money,,,2,,4,5,,4,5,,,1,0
F,K,L,B,TRUE,55-64,H,D,D,0,Dynamic Duos,,5,5,,,,,,,,,1,0
M,O,N,H,,65-74,H,G,R,0,Smart Singles,,,,,,,,,5,,,3,0
M,Q,Q,G,,55-64,H,,I,0,Lowkey Luxe,,,,,,,,,,,,5,0
F,Q,N,I,TRUE,45-54,H,B,D,0,Pleasantville,,,,,,,,,,,4,1,0
F,S,S,I,TRUE,65-74,H,B,D,0,Suburban Socialites,,3,1,5,2,,5,,2,5,,1,0
M,L,N,G,,75+,H,D,D,0,Retired and Relaxed,,,5,,,,5,,,,,1,0
M,L,N,G,,75+,H,D,D,0,Retired and Relaxed,,,5,,,,5,,,,,1,0
M,L,N,G,,75+,H,D,D,0,Retired and Relaxed,,,5,,,,5,,,,,1,0
F,R,Q,I,TRUE,45-54,H,C,I,0,Minivans and Malls,,,5,5,5,5,,,,,,1,0
M,M,N,G,TRUE,65-74,H,B,I,0,Single Sophisticates,,,,,,,,,,,,4,0
F,Q,N,I,,75+,H,B,D,0,Silver Sneakers,,4,5,5,4,,,5,,4,,1,0
F,M,L,G,TRUE,55-64,H,A,D,0,Single Sophisticates,,5,,,,,,,,,,1,0
M,Q,R,I,,65-74,H,C,D,0,Country Club Set,,5,,,1,1,5,,5,,,1,0
M,Q,R,I,,65-74,H,C,D,0,Country Club Set,,5,,,1,1,5,,5,,,1,0
F,N,N,E,TRUE,65-74,H,G,R,0,Dynamic Duos,,5,1,1,,,,,,,,1,0
M,N,F,G,TRUE,75+,H,A,,0,Senior Discount,,,,,,,,,,,,4,0
F,L,N,H,,65-74,H,C,,0,Smart Singles,,,,,,,,,,,,2,0
M,Q,L,G,TRUE,65-74,H,B,D,0,Retired and Relaxed,3,,,,,,,,,,2,2,0
F,Q,J,G,TRUE,45-54,H,F,D,0,Successful Singles,,2,,,,,,,,,,2,0
F,Q,J,G,TRUE,45-54,H,F,D,0,Successful Singles,,2,,,,,,,,,,2,0
F,Q,J,G,TRUE,45-54,H,F,D,0,Successful Singles,,2,,,,,,,,,,2,0
M,L,O,F,TRUE,65-74,H,B,I,0,Country Club Set,,,,,5,5,,,,,,4,0
F,R,Q,I,TRUE,55-64,H,D,R,0,Suburban Socialites,2,4,,,4,5,,,5,,5,2,0
M,N,Q,I,TRUE,75+,H,C,D,0,Country Club Set,5,5,,,,,,,,,,5,0
M,G,N,H,TRUE,55-64,H,B,,0,Country Clout,,,5,,4,4,,,,,,4,0
F,R,S,I,TRUE,55-64,H,C,D,0,Wealth Whispers,5,5,5,,1,,,,,1,,1,0
F,,,,,55-64,,,R,0,Single and Thriving,,,,,1,1,,,3,,,1,0
F,Q,O,H,TRUE,65-74,H,C,D,0,Country Club Set,,,,,5,5,,,,,,2,0
F,,S,I,,65-74,H,,D,0,Old Money,5,5,,,,,,,,,,1,0
M,S,O,I,TRUE,65-74,H,B,I,0,Country Club Set,,,,,,,,,5,,,5,0
F,R,P,H,TRUE,55-64,H,C,D,0,Minivans and Malls,,1,1,3,1,,1,,2,1,,1,0
M,N,L,G,TRUE,45-54,H,C,I,0,Movin On Up,,,,,,,,,,,,1,0
F,,Q,H,TRUE,55-64,H,,D,0,Suburban Socialites,,2,5,,3,3,5,4,,5,,2,0
F,Q,O,F,TRUE,45-54,H,,D,0,Lowkey Luxe,,,,,5,,,,2,5,,1,0
F,Q,O,I,,75+,H,C,I,0,Urban Elites,,,,,,,,,,,,2,0
F,Q,O,I,,75+,H,C,I,0,Urban Elites,,,,,,,,,,,,2,0
M,U,H,I,,75+,H,,D,0,Senior Discount,,,,,,,,,,,,4,0
M,U,H,I,,75+,H,,D,0,Senior Discount,,,,,,,,,,,,4,0
F,Q,N,G,TRUE,45-54,H,B,D,0,Working for the Weekend,,,,,,,,,,,,4,0
F,M,N,F,FALSE,45-54,H,E,I,0,Working for the Weekend,,,,5,,,5,,,,,1,0
M,R,O,I,TRUE,65-74,H,B,D,0,Old Money,,,,,,,,,,,,3,0
M,R,O,I,TRUE,65-74,H,B,D,0,Old Money,,,,,,,,,,,,3,0
F,R,F,B,,65-74,H,B,D,0,American Classics,,5,,,,,,,,,,2,0
F,Q,Q,I,TRUE,55-64,H,G,D,0,Single and Thriving,,5,4,,,,,,,,,1,0
F,M,O,H,,55-64,H,F,D,0,Hometown Heroes,,,,,4,,,,,4,,2,0
F,R,S,I,TRUE,55-64,H,C,L,0,Wealth Whispers,,3,1,3,1,,,,,1,,1,0
F,,S,I,TRUE,35-44,H,,D,0,Jet Setters,5,,2,,2,3,,,,2,,1,0
F,,S,I,TRUE,35-44,H,,D,0,Jet Setters,5,,2,,2,3,,,,2,,1,0
F,,S,I,TRUE,35-44,H,,D,0,Jet Setters,5,,2,,2,3,,,,2,,1,0
F,R,S,I,,75+,H,C,D,0,Old Money,,,,,,,,,,,,2,0
F,Q,R,I,TRUE,65-74,H,C,D,0,Suburban Socialites,,,,,1,,,,5,1,4,1,0
F,Q,R,I,TRUE,65-74,H,C,D,0,Suburban Socialites,,,,,1,,,,5,1,4,1,0
M,U,Q,I,TRUE,65-74,H,,D,0,Old Money,5,,,,,,,,,,,4,0
M,R,Q,I,,65-74,H,A,D,0,Country Club Set,,,,,,,,,,,,,0
F,S,R,I,,75+,H,C,D,0,Senior Society,,,,,2,1,,,,2,1,1,0
F,S,S,I,TRUE,55-64,H,B,L,0,Wealth Whispers,,5,,,5,5,,,5,5,,2,0
M,Q,O,H,TRUE,55-64,H,G,D,0,Hometown Heroes,,,,,,,,,,,,2,0
M,S,R,I,TRUE,55-64,H,B,D,0,Suburban Socialites,,,5,5,5,5,5,,,,,1,0
M,S,R,I,TRUE,55-64,H,B,D,0,Suburban Socialites,,,5,5,5,5,5,,,,,1,0
F,Q,R,I,TRUE,45-54,H,A,D,0,Minivans and Malls,,3,,,5,,,,,5,,1,0
F,Q,R,I,TRUE,45-54,H,A,D,0,Minivans and Malls,,3,,,5,,,,,5,,1,0
F,Q,R,H,TRUE,55-64,H,E,R,0,Suburban Socialites,2,5,,,1,,,,,1,,1,0
F,Q,R,H,TRUE,55-64,H,B,D,0,Wealth Whispers,5,,4,,3,,3,,,3,,1,0
F,R,R,I,TRUE,45-54,H,B,D,0,Lowkey Luxe,5,3,,,2,,,,3,2,,1,0
F,R,R,I,TRUE,45-54,H,B,D,0,Lowkey Luxe,5,3,,,2,,,,3,2,,1,0
F,R,S,I,TRUE,55-64,H,C,D,0,Lowkey Luxe,,4,1,4,,,,,,,,1,0
M,R,O,I,TRUE,75+,H,B,L,0,Old Money,5,5,1,3,4,,,4,1,,,1,0
F,M,N,G,,65-74,H,D,D,0,Smart Singles,,,,,,,,,,,,,0
F,Q,O,I,TRUE,55-64,H,B,D,0,Hometown Heroes,,,,,,,,,,,,2,0
F,,R,I,,65-74,H,,D,0,Old Money,,1,,,,,,,,,5,1,0
F,S,S,I,TRUE,75+,H,B,D,0,Country Club Set,1,5,2,,,,,,5,,,1,0
F,R,R,I,,65-74,H,C,D,0,Senior Society,,,,,,,,,,,,2,0
F,Q,O,H,TRUE,55-64,H,B,D,0,Hometown Heroes,,,1,,,,,,,,,1,0
